id,recipient,height,claimed_coins,fund_community_pool_coins
49,evmos1ce5mxa35ymcewpqzjahndltqzzm2rfrgca32mn,274117,235044097855854542360aevmos,65654695337694493160aevmos
50,evmos1gtxpqyfmneayafgwgf4vvt84p3g923nl2heepr,274117,411172667788243519855aevmos,114852559503024293265aevmos
51,evmos1t59v8zwxd8twlca6j6uc0rvp2mccp3fe4ymn4l,274118,230936628767046846988aevmos,64507795427992630772aevmos
52,evmos1hjgtqwqzm70r87t6xd5we4pq9z3n2ct73pzn2e,274123,143456735834502253972aevmos,40073280499669217900aevmos
53,evmos1uvkmjk9248g68fsudy4dl096yy92686wp6ujuz,274129,143455506130026435520aevmos,40074510204145036352aevmos
54,evmos1cp90em4qhedgem8fxrzwvgywkqa7e5rxuaqrf8,274129,326846292201710801261aevmos,91305000591279960723aevmos
55,evmos1hjgtqwqzm70r87t6xd5we4pq9z3n2ct73pzn2e,274130,143455292952090239912aevmos,40074723382081231960aevmos
56,evmos1qxmq6qw4hketvrqq38zajxuqnjxcetcsk2xrld,274133,108968707584955680668aevmos,30441386326081250148aevmos
57,evmos1as2qhsscdmzwh82wj470z8rg3lfn9aflssxktk,274136,143454042236013752496aevmos,40075974098157719376aevmos
58,evmos1vzprd5lpnues2el2phyl0tyjlhdu2j5h3rv7c7,274139,37241052372428786327aevmos,10404033371522408553aevmos
59,evmos15xkl8hdg6lmzew4kt2rfy6aydtpxtnewhw2m9d,274161,37239873445790371869aevmos,10405212298160823011aevmos
60,evmos12xf3vn4lvsm287822cg4eerplvgeet5e2tahyq,274166,144825484378247937279aevmos,40467113616331861505aevmos
61,evmos1f72z9d7r9ulnjy9y94ahg7l5ylcnkeh0w8jmr5,274166,144825484378247937279aevmos,40467113616331861505aevmos
62,evmos1t59v8zwxd8twlca6j6uc0rvp2mccp3fe4ymn4l,274169,143447218775883092520aevmos,40082797558288379352aevmos
63,evmos1v2jt3mkj7tvxt28rrcdd4fq4tg5t9ay340d8tg,274169,176152797988807584220aevmos,49221567356721138212aevmos
64,evmos1z5hdep5dssnx8mwzkn2vdeakg925epz6de088x,274170,143447006838446350912aevmos,40083009495725120960aevmos
65,evmos1uvkmjk9248g68fsudy4dl096yy92686wp6ujuz,274185,143443842423841146916aevmos,40086173910330324956aevmos
66,evmos1dunh5rpkrp9df5wzdl0ce9mr0su8xwefmdkl6l,274185,144821445341362871204aevmos,40471152653216927580aevmos
67,evmos18es38vpxx0prjnw9hswedcdv99gpkaa98xe06p,274185,144821445341362871204aevmos,40471152653216927580aevmos
68,evmos1l6m5ly2guls05w7v9ys0ln7xnrxuh4h8x6cwjc,274186,143443636302063486376aevmos,40086380032107985496aevmos
69,evmos1k4y5mpug4w9wlpffr4vun8ansh980lcpsr8zxe,274200,145939217978805691960aevmos,40787554154910111688aevmos
70,evmos1grlnsjtwf4a0jxnn05pcf3yypf22dwrhq4ejwn,274200,143440743677966677780aevmos,40089272656204794092aevmos
71,evmos1tdkxlff4xfmjxg9jjfrs9ez7sa83vclv37suz9,274200,143440743677966677780aevmos,40089272656204794092aevmos
72,evmos18es38vpxx0prjnw9hswedcdv99gpkaa98xe06p,274200,143440743677966677780aevmos,40089272656204794092aevmos
73,evmos19x57sntmnwdap3rel7a9ah4vrxh0mxffex3pj2,274200,144818316835818797613aevmos,40474281158761001171aevmos
74,evmos1ct40a7ju2yhsmudz37ermcwcz7asl6md5wtq6z,274200,143440743677966677780aevmos,40089272656204794092aevmos
75,evmos1kx4j2h279swzl047xktx9xj38w57u4arc7jf29,274200,131202673648320790112aevmos,36668938142981243296aevmos
76,evmos1t59v8zwxd8twlca6j6uc0rvp2mccp3fe4ymn4l,274200,143440743677966677780aevmos,40089272656204794092aevmos
77,evmos1t59v8zwxd8twlca6j6uc0rvp2mccp3fe4ymn4l,274202,143440304716973469124aevmos,40089711617198002748aevmos
78,evmos1qcsksvqpw64rj37jlm4uemsc3me44044n3tfjh,274228,143434617331527424928aevmos,40095399002644046944aevmos
79,evmos19h64anuqxjqle7xr8yzsfd7tykeyqtkerwd0q9,274230,174551484842213651994aevmos,48794414964474283238aevmos
80,evmos1z5xuz2mc2ufclc00upqtx0jkykzceupwqn0tcu,274266,23242377420440814827aevmos,6498806205184513557aevmos
81,evmos15yhr7dtmty5v4fyk78z55z4dachs4my930yp9e,274296,147476753508746381073aevmos,41244228119546579183aevmos
82,evmos1sj7fk3av39rme8dpurahdq94ptqe5u6kdkxqlu,274296,161478964710855380125aevmos,45160169983317019235aevmos
83,evmos1nqtekfjcgflmsfzt5mh8v5hy25cjtzuln4dvfg,274296,347778181006712164047aevmos,97261719499345432881aevmos
